filename,name
cufs_001,Wang Yifei
cufs_002,Chen Meiling
cufs_003,Liu Ruoxi
cufs_004,Zhang Jingwen
cufs_005,Li Zixuan
cufs_006,Zhao Liying
cufs_007,Sun Xiaoting
cufs_008,Zhou Yutong
cufs_009,Wu Jiaqi
cufs_010,Zheng Shuyuan
cufs_011,Feng Waner
cufs_012,Chu Xiaodan
cufs_013,Wei Mulan
cufs_014,Jiang Yanli
cufs_015,Shen Bingqing
cufs_016,Han Xue
cufs_017,Yang Zimei
cufs_018,Zhu Qianqian
cufs_019,Qin Lan
cufs_020,Xu Mengjie
cufs_021,He Yunxi
cufs_022,Lu Sicheng
cufs_023,Tang Shishi
cufs_024,Lin Xiaowei
cufs_025,Fang Ruolan
cufs_026,Gu Peixin
cufs_027,Wang Xiaoman
cufs_028,Cao Yuhan
cufs_029,Song Jia
cufs_030,Tian Shuyu
cufs_031,Liang Xiaoqin
cufs_032,Pan Meiqi
cufs_033,Yu Wenle
cufs_034,Ding Zihan
cufs_035,Ye Xiaoxue
cufs_036,Cheng Ruoxuan
cufs_037,Lu Jingyi
cufs_038,Peng Shanshan
cufs_039,Su Xiaonuo
cufs_040,Lu Meiqi
cufs_041,Jiang Rou
cufs_042,Bai Lu
cufs_043,Long Ziyan
cufs_044,Xiao Wen
cufs_045,Yan Siyu
cufs_046,Mao Xiaotong
cufs_047,Jia Ling
cufs_048,Dong Jie
cufs_049,Cui Yuanyuan
cufs_050,Ren Na
cufs_051,Fan Bingbing
cufs_052,Jin Chen
cufs_053,Yao Yao
cufs_054,Liao Jing
cufs_055,Zhang Wei
cufs_056,Li Qiang
cufs_057,Wang Jun
cufs_058,Liu Yang
cufs_059,Chen Hao
cufs_060,Zhao Lei
cufs_061,Huang Ming
cufs_062,Zhou Jie
cufs_063,Xu Tao
cufs_064,Sun Peng
cufs_065,Hu Bo
cufs_066,Gao Feng
cufs_067,Lin Feng
cufs_068,He Bin
cufs_069,Guo Dong
cufs_070,Ma Chao
cufs_071,Luo Gang
cufs_072,Liang Yong
cufs_073,Song Kai
cufs_074,Zheng Xin
cufs_075,Xie Jun
cufs_076,Han Feng
cufs_077,Tang Bin
cufs_078,Feng Bo
cufs_079,Yu Liang
cufs_080,Dong Wei
cufs_081,Xiao Gang
cufs_082,Cheng Long
cufs_083,Cao Bin
cufs_084,Yuan Chao
cufs_085,Deng Wei
cufs_086,Xu Xiang
cufs_087,Fu Qiang
cufs_088,Shen Peng
cufs_089,Zeng Wei
cufs_090,Peng Fei
cufs_091,Lu Yan
cufs_092,Su Jian
cufs_093,Lu Hao
cufs_094,Jiang Chen
cufs_095,Jia Ming
cufs_096,Ding Kai
cufs_097,Wei Bo
cufs_098,Xue Dong
cufs_099,Yan Bin
cufs_100,Yu Ming
cufs_101,Pan Hao
cufs_102,Du Wei
cufs_103,Ye Feng
cufs_104,Zhong Chao
cufs_105,Wang Zihan
cufs_106,Li Haoran
cufs_107,Zhang Yichen
cufs_108,Liu Yuxuan
cufs_109,Chen Zixuan
cufs_110,Yang Haoyu
cufs_111,Huang Zihao
cufs_112,Zhao Ruoxuan
cufs_113,Zhou Jiarui
cufs_114,Wu Yifan
cufs_115,Xu Kun
cufs_116,Sun Yibo
cufs_117,Ma Tianyu
cufs_118,Hu Yitian
cufs_119,Gao Hanyu
cufs_120,Lin Gengxin
cufs_121,He Jiong
cufs_122,Guo Jingming
cufs_123,Luo Yunxi
cufs_124,Liang Jingkang
cufs_125,Song Weilong
cufs_126,Zheng Kai
cufs_127,Xie Ze
cufs_128,Han Dongjun
cufs_129,Tang Jialun
cufs_130,Feng Shaofeng
cufs_131,Yu Menglong
cufs_132,Dong Zijian
cufs_133,Xiao Zhan
cufs_134,Cheng Yi
cufs_135,Cao Yuchen
cufs_136,Yuan Hong
cufs_137,Deng Lun
cufs_138,Xu Kai
cufs_139,Fu Xinbo
cufs_140,Shen Teng
cufs_141,Zeng Shunxi
cufs_142,Peng Yuchang
cufs_143,Lu Han
cufs_144,Su Yuming
cufs_145,Lu Jingshan
cufs_146,Jiang Jinfu
cufs_147,Jia Nailiang
cufs_148,Ding Chengxin
cufs_149,Wei Daxun
cufs_150,Xue Zhiqian
cufs_151,Yan Yikuan
cufs_152,Yu Haoming
cufs_153,Pan Yueming
cufs_154,Du Chun
